Parameters: -p dddfaaa -P sssdddFchnaaa
File: tagged/60000train.txt

category	seen	precision	recall	f-score	number
PRO^D^3^SG	yes	0.99	1.00	0.99	269
ADJ^POS	yes	0.00	0.00	0.00	2
VBPI^3^SG	yes	0.96	0.97	0.96	447
CONJ	yes	1.00	1.00	1.00	4919
VBDI^1^SG	yes	0.75	0.43	0.55	7
VNI	yes	0.89	0.92	0.90	587
D^DEM	yes	1.00	1.00	1.00	714
\"	yes	0.00	0.00	0.00	0
VBPC^3^PL	yes	0.98	0.97	0.97	100
PRO^RFL^3^PL	yes	0.83	0.73	0.78	184
VBPI^1^PL	yes	0.92	0.87	0.90	241
D	yes	0.94	0.98	0.96	2796
VBPI^2^SG	yes	1.00	0.85	0.92	13
VBFI^2^PL	yes	1.00	1.00	1.00	31
VBDI^2^PL	yes	0.00	0.00	0.00	1
P	yes	1.00	1.00	1.00	6191
PRO^D^1^PL	yes	0.77	0.92	0.84	421
PRO^ADV	yes	0.99	0.98	0.99	623
PRO^2^SG	yes	1.00	0.67	0.80	3
VBFI^1^PL	yes	0.99	0.99	0.99	74
MAN	yes	0.70	0.38	0.49	42
PRO^RFL^3^SG	yes	0.82	0.89	0.85	267
VBPI^1^SG	yes	0.92	0.89	0.90	79
VBI^2^PL	yes	0.78	0.54	0.64	46
VBPS^3^PL	yes	0.91	0.83	0.87	24
WPRO	yes	0.97	0.98	0.97	92
PRO^D^3^PL	yes	0.65	0.61	0.63	149
PRO^1^PL	yes	1.00	1.00	1.00	1046
PRO^RFL^2^SG	yes	1.00	1.00	1.00	2
VBDS^1^PL	yes	0.98	0.98	0.98	151
VBPI^2^PL	yes	0.93	0.95	0.94	183
VBPC^1^PL	yes	0.99	0.97	0.98	75
PRO^RFL^1^SG	yes	0.75	0.33	0.46	9
PRO^A^1^SG	yes	0.20	0.10	0.13	10
PRO^3^SG	yes	1.00	0.99	0.99	827
ADJ^Q	yes	0.95	0.72	0.82	25
;	yes	1.00	1.00	1.00	353
?	yes	1.00	1.00	1.00	72
VBPC^1^SG	yes	0.67	0.67	0.67	3
C	yes	1.00	1.00	1.00	4139
VBDS^3^SG	yes	1.00	0.99	0.99	211
OLB	yes	0.89	1.00	0.94	8
VBFI^3^SG	yes	1.00	1.00	1.00	44
PRO^RFL^2^PL	yes	0.33	0.22	0.27	58
[	yes	1.00	1.00	1.00	3
PRO^A^3^PL	yes	0.57	0.33	0.42	148
PRO^2^PL	yes	1.00	1.00	1.00	276
CONJ+NEG	yes	0.97	0.97	0.97	158
NPR	yes	1.00	1.00	1.00	1843
FW	yes	0.50	0.45	0.47	20
NEG	yes	1.00	1.00	1.00	693
VBPC^3^SG	yes	0.97	0.97	0.97	119
VBPS^1^SG	yes	1.00	0.80	0.89	5
VBDS^2^PL	yes	1.00	1.00	1.00	6
