
Jo PRO^1^SG
faré VBFI^1^SG
- -
-dix VBDI^3^SG
él PRO^3^SG
- -
- -
metre VB
una D^Q
gómena N
al P+D
peu N
de P
la D
torra N
, COMMA
e CONJ
tiraran VBFI^3^PL
de P
part N
de P
la D
cana N
en P
ajús P
; ;
e CONJ
la D
torra N
, COMMA
quan C
serà VBFI^3^SG
canada N
, COMMA
falir VB
-li PRO^D^3^SG
han VBPI^3^PL
los D
estolons N
, COMMA
e CONJ
vendrà VBDI^3^SG
·n PRO^ADV
. .

E CONJ
, COMMA
axí ADV
con C
fo VBDI^3^SG
parlat VNI
, COMMA
fo VBDI^3^SG
feyt VNI
. .

E CONJ
, COMMA
al P+D
venir VB
que C
·n PRO^ADV
féu VBDI^3^SG
, COMMA
vengren VBDI^3^PL
-ne PRO^ADV
·iii· NUM
sarraïns N
de P
jus P
, COMMA
e CONJ
exiren VBDI^3^PL
los PRO^A^3^PL
de P
les D
caves N
e CONJ
meteren VBDI^3^PL
-los PRO^A^3^PL
-se PRO^RFL^3^PL
·n PRO^ADV
. .

E CONJ
puys ADV
vengren VBDI^3^PL
·ii· NUM
hòmens N
de P
Leyda NPR
, COMMA
En DPR
Prohet NPR
per P
nom N
e CONJ
·N DPR
Johan NPR
Rixó NPR
e CONJ
·i· NUM
altre D^Q
lur D^POS
companyó N
; ;
e CONJ
dixeren VBDI^3^PL
: :
Seyor N
, COMMA
si C
vós PRO^2^PL
féts VBPI^2^PL
per P
què WPRO
, COMMA
nós PRO^1^PL
rasarem VBFI^1^PL
lo D
val N
, COMMA
per P
què WPRO
poran VBFI^3^PL
entrar VB
cavals N
armats VNI
. .

E CONJ
dixem VBDI^1^PL
nós PRO^1^PL
: :
E CONJ
sóts VBPI^2^PL
bé ADV
segurs ADJ
que C
fer VB
se PRO^RFL^3^SG
pusca VBPS^3^SG
? ?
och N
- -
-dixeren VBDI^1^PL
éls PRO^3^PL
- -
- -
, COMMA
ab P
la D
voluntat N
de P
Déu N
e CONJ
ab P
que C
vós PRO^2^PL
nos PRO^A^1^PL
fassats VBPS^2^PL
guardar VB
. .

E CONJ
nós PRO^1^PL
dixem VBDI^1^PL
que C
·ns PRO^D^1^PL
plahia VBDI^3^SG
molt ADV
e CONJ
que C
·ls PRO^D^3^PL
ho PRO^A^NTR
grahíem VBDI^1^PL
, COMMA
e CONJ
que C
començassen VBDS^3^PL
sa D^POS
obra N
, COMMA
e CONJ
nós PRO^1^PL
dar VB
-los PRO^D^3^PL
híem VBDI^1^PL
qui C
·ls PRO^A^3^PL
guardarien VBDI^3^PL
. .

E CONJ
començaren VBDI^3^PL
de P
rasar VB
lo D
val N
d’ P
esta D^DEM
manera N
: :
que C
FOL43v FOL
metien VBDI^3^PL
·i· NUM
lit N
de P
leyna N
per P
al P+D
val N
e CONJ
altre D^Q
de P
terra N
. .

E CONJ
, COMMA
quant C
vench VBDI^3^SG
que C
aquesta D^DEM
cosa N
ach VBDI^3^SG
durat VN
·xv· NUM
jorns N
, COMMA
de P
rasar VB
lo D
val N
, COMMA
los D
sarraïns N
no NEG
u PRO^A^NTR
podien VBDI^3^PL
defendre VB
: :
así ADV
u PRO^A^NTR
tenien VBDI^3^PL
a P
prop P
los D
de P
la D
ost N
. .

E CONJ
·i· NUM
dimenge N
vestim VBDI^1^PL
-nos PRO^RFL^1^PL
bé ADV
e CONJ
aguisam VBDI^1^PL
-nos PRO^RFL^1^PL
bé ADV
e CONJ
