-DOCSTART- 0

Libre N 
dels P+D 
feyts N 
del P+D 
Rey N 
en DPR 
Jacme NPR 
FOL1r FOL 
§ PUNC 
Retrau VBPI^3^SG 
mon D^POS 
seyor N 
sent ADJ 
Jacme NPR 
que C 
fe N 
sens P 
obres N 
morta VNI 
és VBPI^3^SG 
. .

Aquesta D 
paraula N 
volch VBPI^3^SG 
Nostre ADJ^POS 
Seyor N 
complir VB 
en P 
los D 
nostres ADJ^POS 
feytz N 
. .

E CONJ 
jassia C 
que C 
la D 
fe N 
senes P 
les D 
obres N 
no NEG 
vayla VBPS^3^SG 
re N
, PUNC 
can C 
abdues D^Q
són VBPI^3^PL 
ajustades VNI 
, PUNC 
fan VBPI^3^PL 
fruyt N 
, PUNC 
lo D 
qual WADJ 
Déu N 
vol VBPI^3^SG 
reebre VB 
en P 
la D 
sua D^POS 
mansió N 
. .

E CONJ 
ja ADV 
fos VBDS^3^SG 
açò PRO^3^SG
que C 
·l D 
començament N 
de P 
la D 
nostra D^POS
naxença N 
fos VBDS^3^SG 
bo ADJ 
, PUNC 
en P 
les D 
obres N 
nostres D^POS 
havia VBDI^3^SG 
mester N 
mellorament ADV 
, PUNC 
no NEG 
per P 
tal ADV 
que C 
la D 
fe N 
no NEG 
fos VBDS^3^SG 
en P 
nós PRO^1^PL 
de P 
creure VB 
nostre D^POS 
Creador N 
en P 
les D 
sues ADJ^POS 
obres N 
, PUNC 
e CONJ 
a P 
la D 
sua D^POS 
mare N 
pregar VB 
que C 
pregàs VBPS^3^SG 
per P 
nós PRO^1^PL 
al P+D 
seu ADJ^POS 
car ADJ 
Fiyl N 
que C 
·ns PRO^D^1^PL 
perdonàs VBPS^3^SG 
lo D 
tort N 
que C 
li PRO^DAT^3^SG
teníem VBDI^1^PL 
. .

On ADV 
, PUNC 
de P 
la D 
fe N 
que C 
nós PRO^1^PL 
havíem VBDI^1^PL 
nos PRO^DAT^1^PL
aduyx VBDI^3^SG 
a P 
la D 
vera ADJ 
salut N 
. .

E CONJ 
quan C 
Nostre ADJ^POS 
Seyor N 
Jhesuchrist NPR 
, PUNC 
que C 
sab VBPI^3^SG 
totes Q 
coses N 
, PUNC 
sabia VBDI^3^SG 
que C 
la D 
nostra D^POS
vida N 
s’ PRO^RFL^3^SG
alongaria VBPC^3^SG 
tant ADV 
, PUNC 
que C 
faríem VBPC^1^PL 
ajustament N 
de P 
bones ADJ 
obres N 
ab P 
la D 
fe N 
que C 
nós PRO^1^PL 
havíem VBDI^1^PL 
, PUNC 
feÿa VBDI^3^SG 
·ns PRO^D^1^PL 
tanta D^Q 
de P 
gràcia N 
e CONJ 
