Evaluation

batch_size=10
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/NER/CoNNL_2003_shared_task/dev.txt'
dropout_ratio=0.5
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/ctibmodel.vec'
emb_load_all=False
epoch_num=100
evaluator='token-acc'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=-1
load=None
lr=0.01
lr_decay=0.05
min_epoch_num=50
model='BiRNNCNNCRF'
momentum=0.9
opt='sgd'
patience=15
report_fn='2021_01_04_16-11_55_report.txt'
rnn_hidden_dim=100
rnn_type='LSTM'
save='2021_01_04_16-11_55_tagger.hdf5'
save_best=True
seed_num=42
test='data/NER/CoNNL_2003_shared_task/test.txt'
train='data/NER/CoNNL_2003_shared_task/train.txt'
verbose=True
word_len=20
word_seq_indexer=None

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test 
---------------------------------------------------------------------------------------
              0 |           0.00 |           0.02 |           0.01 |           0.03 
              1 |        7100.72 |           0.41 |           0.45 |           0.46 
              2 |        5580.25 |           0.59 |           0.55 |           0.60 
              3 |        4755.53 |           0.63 |           0.60 |           0.64 
              4 |        3628.30 |           0.65 |           0.63 |           0.66 
              5 |        3444.28 |           0.70 |           0.65 |           0.68 
              6 |        2687.36 |           0.69 |           0.65 |           0.69 
              7 |        2660.66 |           0.74 |           0.69 |           0.72 
              8 |        2627.73 |           0.73 |           0.67 |           0.71 
              9 |        3531.66 |           0.71 |           0.69 |           0.72 
             10 |        3399.60 |           0.77 |           0.71 |           0.75 
             11 |        2268.69 |           0.77 |           0.71 |           0.75 
             12 |        2500.32 |           0.77 |           0.71 |           0.76 
             13 |        1967.00 |           0.78 |           0.71 |           0.76 
             14 |        2339.75 |           0.78 |           0.73 |           0.78 
             15 |        1907.12 |           0.78 |           0.71 |           0.77 
             16 |        2395.70 |           0.81 |           0.74 |           0.80 
             17 |        2308.02 |           0.81 |           0.74 |           0.80 
             18 |        1970.80 |           0.80 |           0.73 |           0.77 
             19 |        2843.11 |           0.83 |           0.74 |           0.80 
             20 |        2603.70 |           0.82 |           0.75 |           0.80 
             21 |        2187.95 |           0.82 |           0.75 |           0.80 
             22 |        2016.86 |           0.83 |           0.76 |           0.80 
             23 |        1677.46 |           0.82 |           0.74 |           0.80 
             24 |        2455.56 |           0.83 |           0.74 |           0.81 
             25 |        1945.67 |           0.83 |           0.74 |           0.80 
             26 |        2381.17 |           0.83 |           0.74 |           0.81 
             27 |        1873.60 |           0.82 |           0.73 |           0.81 
             28 |        1788.73 |           0.84 |           0.76 |           0.82 
             29 |        1425.56 |           0.84 |           0.77 |           0.82 
             30 |        1906.06 |           0.85 |           0.77 |           0.82 
             31 |        1738.59 |           0.85 |           0.76 |           0.81 
             32 |        2263.14 |           0.85 |           0.76 |           0.81 
             33 |        2057.77 |           0.86 |           0.78 |           0.83 
             34 |        1514.99 |           0.86 |           0.78 |           0.83 
             35 |        1684.16 |           0.86 |           0.77 |           0.84 
             36 |        1785.68 |           0.85 |           0.77 |           0.83 
             37 |        1940.21 |           0.86 |           0.77 |           0.82 
             38 |        1554.75 |           0.86 |           0.78 |           0.84 
             39 |        2288.56 |           0.86 |           0.79 |           0.84 
             40 |        1606.02 |           0.86 |           0.79 |           0.84 
             41 |        1514.30 |           0.87 |           0.78 |           0.84 
             42 |        1419.18 |           0.86 |           0.78 |           0.83 
             43 |        1594.36 |           0.88 |           0.78 |           0.84 
             44 |        1571.85 |           0.87 |           0.78 |           0.85 
             45 |        1539.98 |           0.87 |           0.78 |           0.85 
             46 |        2181.94 |           0.88 |           0.78 |           0.83 
             47 |        1273.95 |           0.87 |           0.80 |           0.83 
             48 |        1392.20 |           0.88 |           0.79 |           0.85 
             49 |        1851.92 |           0.89 |           0.79 |           0.85 
             50 |        2032.57 |           0.88 |           0.79 |           0.85 
             51 |        1570.59 |           0.88 |           0.78 |           0.84 
             52 |        1435.53 |           0.89 |           0.80 |           0.85 
             53 |        1343.81 |           0.87 |           0.78 |           0.86 
             54 |        1436.21 |           0.88 |           0.79 |           0.85 
             55 |        1540.49 |           0.89 |           0.79 |           0.86 
             56 |        1615.84 |           0.87 |           0.77 |           0.85 
             57 |        1210.70 |           0.89 |           0.79 |           0.86 
             58 |        1624.61 |           0.88 |           0.79 |           0.84 
             59 |        1220.23 |           0.89 |           0.79 |           0.86 
             60 |        1577.60 |           0.89 |           0.80 |           0.85 
             61 |        1547.87 |           0.89 |           0.80 |           0.85 
             62 |        1190.17 |           0.90 |           0.80 |           0.86 
             63 |        1318.26 |           0.88 |           0.79 |           0.84 
             64 |        1388.29 |           0.89 |           0.79 |           0.85 
             65 |        1567.58 |           0.90 |           0.80 |           0.86 
             66 |        1463.14 |           0.90 |           0.79 |           0.85 
             67 |        1680.96 |           0.90 |           0.79 |           0.85 
             68 |        1240.46 |           0.89 |           0.79 |           0.86 
             69 |        1367.42 |           0.90 |           0.79 |           0.86 
             70 |        1267.15 |           0.90 |           0.79 |           0.86 
             71 |        1228.80 |           0.89 |           0.79 |           0.86 
             72 |        1364.27 |           0.90 |           0.79 |           0.86 
             73 |        1260.68 |           0.90 |           0.80 |           0.86 
             74 |        1379.64 |           0.90 |           0.79 |           0.86 
             75 |        1263.47 |           0.90 |           0.79 |           0.85 
             76 |        1185.32 |           0.91 |           0.79 |           0.86 
             77 |        1155.11 |           0.90 |           0.79 |           0.86 
             78 |        1104.04 |           0.90 |           0.80 |           0.85 
---------------------------------------------------------------------------------------
Final eval on test, "save best", best epoch on dev 62, token-acc, test = 0.86)
