Evaluation

batch_size=10
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/NER/CoNNL_2003_shared_task/dev.txt'
dropout_ratio=0.5
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/oldcatalanmodel.vec'
emb_load_all=False
epoch_num=100
evaluator='token-acc'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=-1
load=None
lr=0.01
lr_decay=0.05
min_epoch_num=50
model='BiRNNCNNCRF'
momentum=0.9
opt='sgd'
patience=15
report_fn='2021_08_04_15-26_20_report.txt'
rnn_hidden_dim=100
rnn_type='LSTM'
save='2021_08_04_15-26_20_tagger.hdf5'
save_best=True
seed_num=42
test='data/NER/CoNNL_2003_shared_task/test.txt'
train='data/NER/CoNNL_2003_shared_task/train.txt'
verbose=True
word_len=20
word_seq_indexer=None

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test 
---------------------------------------------------------------------------------------
              0 |           0.00 |           0.89 |           0.68 |           1.17 
              1 |        7507.44 |          60.16 |          58.34 |          60.41 
              2 |        4245.71 |          70.34 |          66.33 |          67.20 
              3 |        3474.47 |          75.32 |          71.30 |          73.10 
              4 |        2937.38 |          78.91 |          74.39 |          75.47 
              5 |        2582.23 |          80.39 |          75.90 |          76.75 
              6 |        2272.27 |          81.46 |          76.28 |          77.34 
              7 |        1920.02 |          83.15 |          77.86 |          78.74 
              8 |        2130.86 |          84.23 |          79.53 |          79.66 
              9 |        2025.38 |          85.21 |          80.94 |          82.13 
             10 |        2069.58 |          84.78 |          79.41 |          80.76 
             11 |        1499.35 |          86.82 |          82.64 |          82.75 
             12 |        1657.24 |          87.49 |          83.22 |          82.72 
             13 |        1682.96 |          87.65 |          82.46 |          83.69 
             14 |        1493.46 |          88.53 |          83.78 |          84.43 
             15 |        1235.81 |          88.66 |          84.27 |          83.67 
             16 |        1347.65 |          88.57 |          84.19 |          84.48 
             17 |        1530.67 |          89.70 |          84.41 |          85.63 
             18 |        1459.71 |          90.34 |          85.55 |          85.76 
             19 |        1263.10 |          90.45 |          85.07 |          85.15 
             20 |        1025.03 |          90.38 |          85.15 |          85.17 
             21 |        1205.64 |          91.46 |          86.43 |          86.17 
